PRIORIDAD,TIPO,CUENTA,CANAL,RUT_SOSTENEDOR,EE_BASICA,MAT_BASICA,REQUIERE_ATE,NOMBRE_CONTACTO,CARGO,EMAIL,TELEFONO,DIRECCION,WEB,COMUNA,REGION,RBD,CONFIANZA,FUENTE,PROXIMO_PASO
1,Colegio,Colegio The Grange School,A · Directo Privado,,1,1275,NO,Nicholas Eatough,Headmaster,,+56 2 2598 1500,Av. Príncipe de Gales 6154 La Reina,https://grange.cl,LA REINA,RM,9046,MEDIA,grange.cl,"Correo no publicado — entrar por teléfono o formulario web. Alta señal de marca: si compra The Grange, abre el resto del circuito británico."
1,Colegio,Colegio Santiago College,A · Directo Privado,,1,1221,NO,,Admisión,admiss@scollege.cl,+56 2 2733 8800,Camino Los Trapenses 4007 Lo Barnechea,https://www.scollege.cl,LO BARNECHEA,RM,8995,ALTA,scollege.cl,Admisión recibe postulaciones marzo-noviembre; usar ese canal para llegar a dirección académica.
1,Colegio,Colegio del Verbo Divino,A · Directo Privado,82.991.800,2,1471,NO,P. Sergio A. Edwards Velasco svd,Rector,colegium@cvd.cl,+56 2 2754 4800,Presidente Errázuriz 4055 Las Condes,https://www.cvd.cl,LAS CONDES,RM,8888,ALTA,cvd.cl,Red de 2 sedes (Las Condes + Chicureo) bajo un mismo RUT.
2,Colegio,Lycée Antoine de Saint-Exupéry,A · Directo Privado,70.005.730,2,1997,NO,,Dirección,,,,https://www.lycee.cl,VITACURA,RM,8923,BAJA,Directorio MINEDUC 2025 (contacto sin verificar),Red de 2 sedes bajo un RUT. Decisión puede depender de la AEFE (red francesa) — verificar autonomía curricular.
2,Colegio,Colegio de los Sagrados Corazones (red Alameda / Luis Campino / Seminario Pontificio Menor),A · Directo Privado,81.795.100,3,2138,NO,,Dirección,,,,,SANTIAGO,RM,,BAJA,Directorio MINEDUC 2025 (contacto sin verificar),"Red de 3 colegios bajo un RUT, 2.138 alumnos. Verificar contraparte común."
1,Organismo,Registro y Certificación ATE — MINEDUC,Habilitante,,,,,,Mesa de ayuda Registro ATE,registroate@mineduc.cl,600 600 2626,,https://registroate.mineduc.cl/registro-ate/buscadorPublico/index,,,,ALTA,ayudamineduc.cl + registroycertificacionate.mineduc.cl,BLOQUEANTE. Verificar si JUMP Math ya está inscrito en el buscador público. Si no lo está: iniciar en registroycertificacionate.mineduc.cl/inscripcion/
1,Organismo,Dirección de Educación Pública (DEP) — coordina los 36 SLEP,E · SLEP,,,,SÍ,,Dirección de Educación Pública,,,,https://dep.gob.cl/sleps/ver-todos-los-sleps/,SANTIAGO,RM,,ALTA,dep.gob.cl + mineduc.cl,"36 SLEP en régimen al 1-ene-2026, 16 regiones, 169 comunas. La ficha de cada SLEP con su contacto está en dep.gob.cl."
2,SLEP,SLEP Santiago Centro,E · SLEP,,44,26000,SÍ,,Dirección Ejecutiva,,,,https://slepsantiagocentro.gob.cl/nuestro-equipo/,SANTIAGO,RM,,MEDIA,slepsantiagocentro.gob.cl,"Entró en régimen el 1-ene-2026: equipo técnico recién formado y presupuesto nuevo. 44 EE, 26.000 alumnos. Ventana ideal."
2,SLEP,SLEP Gabriela Mistral,E · SLEP,,,,SÍ,Grettys Bravo,Directora Ejecutiva (s),seleccion.gabrielamistral@slepgm.cl,,,https://slepgm.cl,Multi-comuna,RM,,MEDIA,slepgm.cl,El correo listado es de selección de personal — pedir derivación a la unidad técnico-pedagógica.
2,SLEP,SLEP Barrancas,E · SLEP,,,,SÍ,Patricio Canales,Director Ejecutivo,,,,,Multi-comuna,RM,,BAJA,Búsqueda web (cargo sin confirmar fecha),Confirmar vigencia del cargo en dep.gob.cl antes de contactar.
3,SLEP,SLEP Andalién Costa,E · SLEP,,,,SÍ,Ramón Jara Zavala,Director Ejecutivo,,,,,Multi-comuna,BIOBÍO,,BAJA,mineduc.cl (nombramiento presidencial),Confirmar vigencia del cargo en dep.gob.cl.
3,SLEP,SLEP Santa Rosa,E · SLEP,,,,SÍ,Luis Echeverría Donaire,Director Ejecutivo,,,,,Multi-comuna,RM,,BAJA,mineduc.cl (nombramiento presidencial),Confirmar vigencia del cargo en dep.gob.cl.
3,SLEP,SLEP Santa Corina,E · SLEP,,,,SÍ,Ignacio Cáceres Pinto,Director Ejecutivo,,,,https://slepsantacorina.gob.cl/quienes-somos/equipo-directivo/,Multi-comuna,,,BAJA,mineduc.cl + slepsantacorina.gob.cl,El sitio publica el equipo directivo completo — sacar de ahí jefatura técnico-pedagógica.
